,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,2.994134765239284e-17,0.5669714361219812,3.338182149415233,3.019652305366591
1,2,2.994134765239284e-17,0.778783246912284,3.9125137224125197,3.75234521575985
2,3,4.24063048622055e-17,1.0868449581626776,4.04986554078872,4.550625711035267
3,4,3.6469651569214684e-17,1.5295768420415865,3.6452635814975323,5.473972602739726
4,5,3.566780125025179e-17,1.737793311026576,3.9861359020413634,5.804063860667634
5,6,3.566780125025179e-17,1.938761627210496,4.254558508377986,6.046757164404223
6,7,9.262205766577503e-17,2.2033696969108116,4.110051629295476,6.386581469648562
7,8,2.994134765239284e-17,2.3081199113413806,4.641615971466223,6.3904
8,9,1.0237291997032512e-16,2.4525567459507847,4.668941332117034,6.46925566343042
9,10,1.068937969495317e-16,2.690347005401006,4.719493757831177,6.684474123539232
10,11,6.998428810194986e-16,2.7676031796339378,4.778669504337512,6.779661016949152
11,12,0.000710403982887639,2.824529969233528,4.6358677396929915,6.771573604060913
12,13,5.259758144499488e-14,2.960907094283551,4.789738832468175,6.802721088435374
13,14,1.2600934470373537e-16,3.0843032305784646,4.667411612948763,6.834188034188034
14,15,1.5040874765127447e-16,3.137706647812902,4.792995774923736,6.8493150684931505
15,16,1.5040874765127447e-16,3.209735571967876,4.8893644606628275,6.879725085910653
16,17,9.262205766577503e-17,3.337482275201995,5.025764202354177,6.932409012131716
17,18,1.0491140699992048e-16,3.3368498648365392,5.324744887266453,6.845890410958904
18,19,1.2600934470373537e-16,3.4343941021236932,5.38063255366106,6.8982758620689655
19,20,0.9389884554398001,3.606466057185838,5.226746942297623,6.946180555555555
20,21,2.380350146088083e-16,3.706791745221824,5.44253074351694,6.923743500866551
21,22,0.34781358469239093,3.797919980906277,5.325516612974675,6.9
22,23,0.28262794965518245,3.8504945574469183,5.480005910868792,6.918685121107266
23,24,0.10996412506785587,3.949056085824178,5.438899549740954,6.920415224913495
24,25,0.4629186613055048,4.04838224975907,5.557979091921152,6.949565217391305
25,26,0.3692263240565236,4.1395663558087685,5.777623565007506,6.946273830155979
26,27,0.38455299085439903,4.196259068682416,5.684699709355682,6.923743500866551
27,28,0.18571015069250862,4.300275851185665,5.865120387722512,6.927209705372617
28,29,0.6994519977675968,4.386926308603813,6.070379919934002,6.965217391304348
29,30,0.5374530130043023,4.457433789085081,5.70307740697303,6.953125
30,31,1.7214733195817158,4.477955266225468,5.985393814601566,6.966841186736475
31,32,2.4500228236597144,4.551787733711754,5.816316013837319,6.986038394415358
32,33,0.14643187766539728,4.661686686778577,5.993957137847188,6.982547993019197
33,34,0.3513607323724739,4.775605728701943,6.148719881830529,6.984293193717278
34,35,1.5114558022734912,4.821897060337572,5.917867696156849,6.973821989528796
35,36,2.187903930552832e-15,4.914698288540796,5.976502803510289,6.980802792321117
36,37,1.6471154748843693,5.034160598759346,6.1239944873914824,6.982547993019197
37,38,2.6190001225613724,5.085600035614691,6.04247509131279,6.982547993019197
38,39,3.9419088802168307,5.123734855415288,6.0637832089176245,6.998248686514886
39,40,0.6643237591132278,5.206639685800931,6.116704072691624,6.984293193717278
40,41,1.8196054083869817,5.246765712662544,6.191448714260933,6.984265734265734
41,42,0.3718010013003657,5.252399884064211,6.103040695266256,6.984293193717278
42,43,3.4871932098902017,5.2630431985282,6.260640982374636,6.996503496503497
43,44,4.13487489792148,5.302145817758236,6.218353804744449,6.998251748251748
44,45,0.5696806131899674,5.3528076018576005,6.144286069033797,6.991258741258742
45,46,3.9461437549815113,5.391542046515971,6.151533950092921,6.996503496503497
46,47,1.8114597955101637,5.425274061146279,6.2215073843586675,6.993006993006993
47,48,4.047157395396634,5.453630167314312,6.229957444040313,6.998251748251748
48,49,2.52235320847551,5.454794582672797,6.187426327575853,6.989492119089317
49,50,3.1891721101080255,5.511432462366687,6.1747589882299465,6.996503496503497
