SPTq,Tq,Tt,SPTs,Ts,Sr,Sa
70.0,55.0,25.0,38.5,25.0,0.99,1.0
70.0,55.16480031085613,25.078093597699752,38.5,25.0,0.99,1.0
70.0,55.32018691502319,25.156247904370215,38.5,25.0,0.99,1.0
70.0,55.46680991398915,25.234444053996626,38.5,25.0,0.99,1.0
70.0,55.60526885411929,25.312664576538943,38.5,25.0,0.99,1.0
70.0,55.7361168854046,25.39089329051683,38.5,25.0,0.99,1.0
70.0,55.859864566644895,25.46911520434681,38.5,25.0,0.99,1.0
70.0,55.976983347933164,25.547316425688674,38.5,25.0,0.99,1.0
70.0,56.087908758729014,25.62548407811843,38.5,25.0,0.99,1.0
70.0,56.19304332681005,25.703606224516943,38.5,25.0,0.99,1.0
70.0,56.29275925178443,25.781671796599774,38.5,25.0,0.99,1.0
70.0,56.38740085422644,25.85967053007698,38.5,25.0,0.99,1.0
70.0,56.477286819837474,25.937592904970543,38.5,25.0,0.99,1.0
70.0,56.56271225627793,26.01543009065903,38.5,25.000000000000004,0.99,1.0
70.0,56.643950578754314,26.093173895256186,38.5,25.000000000000085,0.99,1.0
70.0,56.72125523902639,26.17081671896415,38.5,25.000000000001,0.99,1.0
70.0,56.794861311208685,26.248351511072876,38.5,25.000000000009248,0.99,1.0
70.0,56.86498694656584,26.325771730305476,38.5,25.000000000070134,0.99,1.0
70.0,56.93183470843344,26.403071308234896,38.5,25.000000000447027,0.99,1.0
70.0,56.99559279742317,26.4802446155208,38.5,25.000000002442512,0.99,1.0
70.0,57.056436176186466,26.557286430736838,38.5,25.00000001163106,0.99,1.0
70.0,57.11452760220493,26.63419191157798,38.5,25.00000004895041,0.99,1.0
70.0,57.1700185763419,26.710956568255387,38.5,25.000000184262976,0.99,1.0
70.0,57.22305021422125,26.787576238902563,38.5,25.000000626819894,0.99,1.0
70.0,57.273754046890495,26.864047066831233,38.5,25.00000194432531,0.99,1.0
70.0,57.32225275667008,26.940365479489056,38.5,25.00000554289731,0.99,1.0
70.0,57.36866085358511,27.01652816898358,38.5,25.000014624070413,0.99,1.0
70.0,57.41308529731403,27.092532074048073,38.5,25.000035929395075,0.99,1.0
70.0,57.45562606916867,27.16837436333532,38.5,25.000082657881002,0.99,1.0
70.0,57.49637669823453,27.24405241993483,38.5,25.000178949851573,0.99,1.0
70.0,57.53542474545258,27.31956382701747,38.5,25.0003662205325,0.99,1.0
70.0,57.57285224910214,27.394906354519506,38.5,25.00071136058309,0.99,1.0
70.0,57.608736134852684,27.470077946785292,38.5,25.001316399870458,0.99,1.0
70.0,57.64314859328634,27.545076711094264,38.5,25.002328711307932,0.99,1.0
70.0,57.676157427549064,27.61990090700416,38.5,25.00395032456951,0.99,1.0
70.0,57.707826373565965,27.694548936447752,38.5,25.006444568442788,0.99,1.0
70.0,57.738215395052805,27.76901933452556,38.5,25.01013820138186,0.99,1.0
70.0,57.767380955369894,27.843310760941552,38.5,25.015417505478435,0.99,1.0
70.0,57.795376268094394,27.917421992033173,38.5,25.02271750561161,0.99,1.0
70.0,57.822251528031614,27.99135191335092,38.5,25.03250443247057,0.99,1.0
70.0,57.84805412424357,28.06509951274619,38.5,25.045252598292937,0.99,1.0
70.0,57.87282883654278,28.138663873929556,38.5,25.061417787186826,0.99,1.0
70.0,57.896618016780174,28.21204417046441,38.5,25.08140988769598,0.99,1.0
70.0,57.91946175614669,28.28523966016392,38.5,25.10556769067781,0.99,1.0
70.0,57.94139803960834,28.358249679861554,38.5,25.134138511228397,0.99,1.0
70.0,57.962462888502834,28.4310736405279,38.5,25.1672646347034,0.99,1.0
70.0,57.982690492241964,28.50371102270858,38.5,25.204977671588757,0.99,1.0
70.0,58.00211332998703,28.576161372260028,38.5,25.247200907133646,0.99,1.0
70.0,58.020762283094236,28.648424296361686,38.5,25.29375881754075,0.99,1.0
70.0,58.03866673906209,28.72049945978487,38.5,25.344392225703476,0.99,1.0
70.0,58.05585468765381,28.792386581400034,38.5,25.39877715974521,0.99,1.0
70.0,58.07235280981326,28.86408543090555,38.5,25.45654537017556,0.99,1.0
70.0,58.08818655994292,28.935595825762505,38.5,25.51730461833237,0.99,1.0
70.0,58.103380242066876,29.006917628321062,38.5,25.580657198069183,0.99,1.0
70.0,58.11795708035956,29.078050743125104,38.5,25.64621560850954,0.99,1.0
70.0,58.13193928448244,29.148995114382878,38.5,25.71361477587897,0.99,1.0
70.0,58.14534811013552,29.21975072359227,38.5,25.78252066080709,0.99,1.0
70.0,58.15820391519783,29.290317587310163,38.5,25.85263544035637,0.99,1.0
70.0,58.17052621180129,29.360695755056152,38.5,25.923699700814733,0.99,1.0
70.0,58.18233371465483,29.430885307341608,38.5,25.995492217190467,0.99,1.0
70.0,58.19364438591043,29.500886353815723,38.5,26.067827941744135,0.99,1.0
70.0,58.20447547683948,29.570699031520796,38.5,26.140554798172616,0.99,1.0
70.0,58.214843566566614,29.64032350324959,38.5,26.21354980416582,0.99,1.0
70.0,58.224764598088605,29.709759955998102,38.5,26.286714945390873,0.99,1.0
70.0,58.234253911787654,29.779008599507574,38.5,26.359973116883143,0.99,1.0
70.0,58.24332627663213,29.84806966489002,38.5,26.433264346591976,0.99,1.0
