SPTq,Tq,Tt,Ts,Sr,Sa,Fs
69.6,55.0,25.0,25.0,1.0,1.0,10.923171327770799
69.6,55.169495878118965,25.078176402083663,25.0,1.0,1.0,10.923171327770799
69.6,55.32928497106301,25.15642118830249,25.0,1.0,1.0,10.923171327770799
69.6,55.48003796355201,25.23471492189295,25.0,1.0,1.0,10.923171327770799
69.6,55.62237341457024,25.313039603543125,25.0,1.0,1.0,10.923171327770799
69.6,55.75686204269006,25.39137856080466,25.0,1.0,1.0,10.923171327770799
69.6,55.88403064719146,25.46971634651224,25.0,1.0,1.0,10.923171327770799
69.6,56.00436569676938,25.548038645446326,25.0,1.0,1.0,10.923171327770799
69.6,56.118316614961785,25.62633218853684,25.0,1.0,1.0,10.923171327770799
69.6,56.22629878835118,25.704584673979163,25.0,1.0,1.0,10.923171327770799
69.6,56.32869632192738,25.782784694671452,25.0,1.0,1.0,10.923171327770799
69.6,56.425864563308195,25.86092167144719,25.0,1.0,1.0,10.923171327770799
69.6,56.518132415802064,25.938985791616993,25.0,1.0,1.0,10.923171327770799
69.6,56.60580445848746,26.01696795237669,25.000000000000004,1.0,1.0,10.923171327770799
69.6,56.68916288987599,26.094859708677035,25.000000000000085,1.0,1.0,10.923171327770799
69.6,56.768469310264116,26.17265322518526,25.000000000001,1.0,1.0,10.923171327770799
69.6,56.84396635654887,26.25034123200046,25.00000000000925,1.0,1.0,10.923171327770799
69.6,56.915879202073164,26.327916983813786,25.00000000007021,1.0,1.0,10.923171327770799
69.6,56.98441693296612,26.40537422223093,25.000000000447507,1.0,1.0,10.923171327770799
69.6,57.04977381144207,26.482707140998283,25.000000002445123,1.0,1.0,10.923171327770799
69.6,57.11213043561053,26.559910353896363,25.000000011643518,1.0,1.0,10.923171327770799
69.6,57.17165480451934,26.63697886508396,25.000000049003066,1.0,1.0,10.923171327770799
69.6,57.22850329639744,26.71390804169491,25.000000184462127,1.0,1.0,10.923171327770799
69.6,57.282821567375294,26.790693588505977,25.000000627500896,1.0,1.0,10.923171327770799
69.6,57.33474537733368,26.86733152450963,25.00000194644941,1.0,1.0,10.923171327770799
69.6,57.38440134896,26.94381816123945,25.000005548987854,1.0,1.0,10.923171327770799
69.6,57.43190766557009,27.02015008270855,25.000014640236483,1.0,1.0,10.923171327770799
69.6,57.477374712778456,27.09632412683309,25.000035969362404,1.0,1.0,10.923171327770799
69.6,57.52090566866668,27.172337368223474,25.00008275042965,1.0,1.0,10.923171327770799
69.6,57.56259704670351,27.248187102235708,25.000179151575807,1.0,1.0,10.923171327770799
69.6,57.602539195310726,27.323870830184052,25.000366636281512,1.0,1.0,10.923171327770799
69.6,57.640816757639286,27.39938624562436,25.0007121741082,1.0,1.0,10.923171327770799
69.6,57.677509094818596,27.474731221624882,25.001317916925316,1.0,1.0,10.923171327770799
69.6,57.71269067566827,27.549903798948137,25.00233141656645,1.0,1.0,10.923171327770799
69.6,57.74643143561047,27.624902175073597,25.00395495220935,1.0,1.0,10.923171327770799
69.6,57.77879710729192,27.699724693996703,25.00645218421189,1.0,1.0,10.923171327770799
69.6,57.80984952521518,27.774369836744917,25.01015029170574,1.0,1.0,10.923171327770799
69.6,57.83964690648719,27.848836212556257,25.015436067080568,1.0,1.0,10.923171327770799
69.6,57.86824410961819,27.923122550670215,25.02274512764385,1.0,1.0,10.923171327770799
69.6,57.89569287314367,27.997227692684895,25.032544362649258,1.0,1.0,10.923171327770799
69.6,57.92204203569578,28.07115058543792,25.045308785205776,1.0,1.0,10.923171327770799
69.6,57.94733773901614,28.144890274372038,25.061494892751938,1.0,1.0,10.923171327770799
69.6,57.97162361527967,28.218445897349437,25.08151326647255,1.0,1.0,10.923171327770799
69.6,57.994940959986145,28.291816678881602,25.105703335935686,1.0,1.0,10.923171327770799
69.6,58.01732889157373,28.365001924744217,25.134312970892125,1.0,1.0,10.923171327770799
69.6,58.03882449881402,28.43800101694889,25.16748490302949,1.0,1.0,10.923171327770799
69.6,58.05946297696194,28.51081340904582,25.205251064358258,1.0,1.0,10.923171327770799
69.6,58.07927775355456,28.583438621733443,25.24753492905532,1.0,1.0,10.923171327770799
69.6,58.098300604680375,28.655876238752928,25.29416103045079,1.0,1.0,10.923171327770799
69.6,58.1165617624738,28.72812590304724,25.344870125158394,1.0,1.0,10.923171327770799
69.6,58.134090014528795,28.800187313165864,25.399338065983162,1.0,1.0,10.923171327770799
69.6,58.150912795869445,28.872060219897886,25.457196337463856,1.0,1.0,10.923171327770799
69.6,58.16705627406387,28.943744423117334,25.518052364711306,1.0,1.0,10.923171327770799
69.6,58.18254542802069,29.015239768825985,25.58150805568094,1.0,1.0,10.923171327770799
69.6,58.19740412096406,29.086546146379924,25.647175493226698,1.0,1.0,10.923171327770799
69.6,58.21165516804337,29.157663485887163,25.71468917390122,1.0,1.0,10.923171327770799
69.6,58.225320398997376,29.228591755764622,25.783714629285388,1.0,1.0,10.923171327770799
69.6,58.238420716258844,29.2993309604436,25.853953618885807,1.0,1.0,10.923171327770799
69.6,58.25097614885508,29.369881138213717,25.925146330731017,1.0,1.0,10.923171327770799
69.6,58.263005902431374,29.44024235919599,25.997071165917244,1.0,1.0,10.923171327770799
69.6,58.27452840569837,29.510414723436508,26.069542729878567,1.0,1.0,10.923171327770799
69.6,58.28556135358052,29.580398359112603,26.142408627486486,1.0,1.0,10.923171327770799
69.6,58.29612174732069,29.650193420844257,26.21554558517978,1.0,1.0,10.923171327770799
69.6,58.3062259317759,29.719800088103767,26.288855323610345,1.0,1.0,10.923171327770799
69.6,58.315889630120466,29.789218563717363,26.362260497144124,1.0,1.0,10.923171327770799
69.6,58.325127976155876,29.858449072452864,26.435700915245913,1.0,1.0,10.923171327770799
69.6,58.333955544410834,29.927491859687866,26.509130173492007,1.0,1.0,10.923171327770799
69.6,58.34238637820054,29.99634719015339,26.58251275253286,1.0,1.0,10.923171327770799
69.6,58.35043401580096,30.065015346748233,26.655821592324955,1.0,1.0,10.923171327770799
69.6,58.35811151488157,30.13349662941964,26.729036114749512,1.0,1.0,10.923171327770799
69.6,58.365431475328734,30.201791354106195,26.802140647536415,1.0,1.0,10.923171327770799
69.6,58.37240606058157,30.26989985173911,26.87512319299519,1.0,1.0,10.923171327770799
69.6,58.379047017592605,30.337822467298377,26.94797448330926,1.0,1.0,10.923171327770799
69.6,58.38536569551663,30.4055595589205,27.020687267375074,1.0,1.0,10.923171327770799
69.6,58.39137306322317,30.473111497054674,27.09325578021468,1.0,1.0,10.923171327770799
69.6,58.39707972572041,30.5404786636646,27.165675353272515,1.0,1.0,10.923171327770799
69.6,58.40249593957174,30.607661451473234,27.237942131346813,1.0,1.0,10.923171327770799
69.6,58.40763162737951,30.67466026324796,27.310052868839133,1.0,1.0,10.923171327770799
69.6,58.41249639140487,30.741475511123905,27.38200478408199,1.0,1.0,10.923171327770799
69.6,58.41709952638736,30.808107615963134,27.453795455593447,1.0,1.0,10.923171327770799
69.6,58.421450031622555,30.874557006747796,27.525422748218844,1.0,1.0,10.923171327770799
69.6,58.425556622352026,30.940824120005225,27.59688476034327,1.0,1.0,10.923171327770799
69.6,58.42942774051526,31.006909399263254,27.66817978582304,1.0,1.0,10.923171327770799
69.6,58.4330715649095,31.072813294534107,27.739306286126638,1.0,1.0,10.923171327770799
69.6,58.4364960207999,31.138536261825234,27.810262869526017,1.0,1.0,10.923171327770799
69.6,58.43970878901909,31.204078762675696,27.88104827515144,1.0,1.0,10.923171327770799
69.6,58.44271731459213,31.269441263716693,27.951661360411816,1.0,1.0,10.923171327770799
69.6,58.44552881492018,31.334624236254943,28.022101090763403,1.0,1.0,10.923171327770799
69.6,58.44815028755357,31.39962815587773,28.092366531140705,1.0,1.0,10.923171327770799
69.6,58.450588517582545,31.464453502078463,28.16245683858896,1.0,1.0,10.923171327770799
69.6,58.452850084671915,31.5291007579017,28.23237125578897,1.0,1.0,10.923171327770799
69.6,58.45494136976359,31.593570409606603,28.30210910526617,1.0,1.0,10.923171327770799
69.6,58.45686856146938,31.65786294634791,28.37166978414258,1.0,1.0,10.923171327770799
69.6,58.45863766217461,31.721978859873534,28.4410527593342,1.0,1.0,10.923171327770799
69.6,58.460254493871474,31.785918644237906,28.51025756312512,1.0,1.0,10.923171327770799
69.6,58.46172470373968,31.84968279553036,28.579283789068374,1.0,1.0,10.923171327770799
69.6,58.46305376949058,31.91327181161771,28.648131088176168,1.0,1.0,10.923171327770799
69.6,58.46424700448979,31.97668619190042,28.716799165369974,1.0,1.0,10.923171327770799
69.6,58.465309562672026,32.039926437081604,28.785287776166868,1.0,1.0,10.923171327770799
69.6,58.46624644326096,32.10299304894833,28.85359672358217,1.0,1.0,10.923171327770799
69.6,58.46706249530595,32.16588653016453,28.92172585523123,1.0,1.0,10.923171327770799
69.6,58.467762422046576,32.22860738407504,28.989675060615255,1.0,1.0,10.923171327770799
69.6,58.46835078511488,32.29115611452021,29.057444268577783,1.0,1.0,10.923171327770799
69.6,58.46883200858497,32.35353322566057,29.12503344491944,1.0,1.0,10.923171327770799
69.6,58.46921038287836,32.415739221811045,29.19244259015998,1.0,1.0,10.923171327770799
69.6,58.469490068533204,32.477774607284374,29.259671737437394,1.0,1.0,10.923171327770799
69.6,58.46967509984478,32.53963988624319,29.326720950534593,1.0,1.0,10.923171327770799
69.6,58.46976938838408,32.601335562560394,29.39359032202518,1.0,1.0,10.923171327770799
69.6,58.46977672640097,32.66286213968748,29.460279971530163,1.0,1.0,10.923171327770799
69.6,58.46970079011768,32.72422012053035,29.526790044078318,1.0,1.0,10.923171327770799
69.6,58.4695451429182,32.78541000733234,29.593120708563273,1.0,1.0,10.923171327770799
69.6,58.46931323843872,32.84643230156414,29.65927215629104,1.0,1.0,10.923171327770799
69.6,58.46900842356371,32.90728750382024,29.72524459961204,1.0,1.0,10.923171327770799
69.6,58.46863394133207,32.96797611372157,29.791038270632225,1.0,1.0,10.923171327770799
69.6,58.468192933757614,33.02849862982416,29.856653419998175,1.0,1.0,10.923171327770799
69.6,58.46768844456738,33.088855549533484,29.92209031575152,1.0,1.0,10.923171327770799
69.6,58.46712342186161,33.14904736902413,29.98734924224829,1.0,1.0,10.923171327770799
69.6,58.466500720698555,33.209074583164785,30.05243049913909,1.0,1.0,10.923171327770799
69.6,58.46582310560721,33.26893768544801,30.11733440040642,1.0,1.0,10.923171327770799
69.6,58.46509325303088,33.32863716792483,30.18206127345556,1.0,1.0,10.923171327770799
69.6,58.46431375370431,33.38817352114376,30.24661145825574,1.0,1.0,10.923171327770799
69.6,58.463487114966824,33.44754723409411,30.310985306528597,1.0,1.0,10.923171327770799
69.6,58.46261576301391,33.50675879415339,30.37518318098107,1.0,1.0,10.923171327770799
