,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,8.977288258406495e-53,0.12072227730746755,2.1545509958258733,2.6022135416666665
1,2,9.385617647178108e-53,0.29414970023957165,2.6593668827529235,3.485191637630662
2,3,1.5602167103226404e-52,0.5338539793112765,2.7842613724940657,4.436182019977802
3,4,1.882845572959712e-52,0.8330353037033575,2.8722068768166715,5.370967741935484
4,5,1.0036593557769502e-51,1.0897400759350526,3.425253370922648,5.738880918220947
5,6,1.0023065540062913e-51,1.2560304348321143,2.8517981901316833,6.142638036809816
6,7,2.994545185202318e-52,1.5415621662037888,3.2817717635075687,6.372611464968153
7,8,2.5042165827073692e-51,1.5928101229914176,3.333408376464779,6.510603588907014
8,9,2.0575841118228475e-51,1.8032938275432062,3.505607553775561,6.640132669983417
9,10,1.9188981568498917e-51,1.9510154806109052,3.57894339638702,6.77834179357022
10,11,4.8465541043792034e-15,2.1209054615647425,3.731190041262619,6.911764705882353
11,12,8.977288258406495e-53,2.178482691936645,3.446008249894086,6.8728522336769755
12,13,2.2450548640756377e-51,2.278979734272521,3.4488315288401945,6.9306759098786825
13,14,9.705298347303361e-50,2.3302037339569424,3.5839455804617817,6.896551724137931
14,15,3.630401771830969e-51,2.4283825128361873,3.887263259508007,6.963478260869565
15,16,1.7466477522927608e-05,2.4753202603520124,3.6522193252952384,6.975567190226876
16,17,1.0182468514295928e-51,2.530025630752974,3.6078862253341435,6.9513043478260865
17,18,1.6975498892327445e-44,2.6384405453960307,4.179615981638837,6.954861111111111
18,19,1.7959677645585952e-47,2.6968670434243083,3.99065503270156,6.954782608695652
19,20,2.503693100455066e-47,2.721836634123205,3.866340831255228,6.968586387434555
20,21,5.848403285955619e-49,2.8375018799155463,4.08931451954675,6.975609756097561
21,22,1.5711933436432222e-07,2.8990088222873105,4.1038077778145094,6.982547993019197
22,23,0.06953082089353871,2.9549246227194406,4.42700457192248,6.977351916376307
23,24,1.159803112164502e-47,3.01237456382102,4.250243907900472,6.966841186736475
24,25,8.004205330908924e-05,3.1229550177164014,4.3444664228524195,6.989528795811518
25,26,2.5219904423612905e-47,3.238198882230749,4.324556612243704,6.979057591623037
26,27,1.8475718423938942e-47,3.341068566600161,4.437918767215344,6.989510489510489
27,28,9.585105324230477e-50,3.4002253521266317,4.5253015020436,6.965156794425087
28,29,9.817577053803054e-50,3.467701591052332,4.502099892349545,6.973867595818815
29,30,8.99516238730413e-51,3.56603277948529,4.547115870070549,6.982547993019197
30,31,0.08311883083886702,3.614658329842794,4.69385817880632,6.9877622377622375
31,32,0.07157983009814098,3.7248562417150133,4.555411754737792,6.977351916376307
32,33,0.1101076869394317,3.8305448431760603,4.680455825432036,6.992994746059544
33,34,2.8202742913337633,3.8621199759671603,4.607062187107216,7.0
34,35,2.6821237832086973,3.924895018336799,4.614210942098602,7.0
35,36,1.5942310563142923,3.98317032180082,4.633979126626788,7.0
36,37,1.1064830036629921e-45,4.002703002450104,4.714777184532293,6.989510489510489
37,38,2.8236128005584016,4.0641880554798195,4.748746982248721,7.0
38,39,9.817577053803054e-50,4.072191394496647,4.696372062305654,6.989510489510489
39,40,3.147162472220668,4.153801078966575,4.721550364840817,7.0
40,41,3.2902051607703493,4.1377768929965395,4.754175322423143,7.0
41,42,3.054770413302105,4.180301198066286,4.855045059426986,7.0
42,43,2.9865283443468935,4.185614557294955,4.831873015023109,7.0
43,44,9.817577053803054e-50,4.211622230141451,4.735037255960347,6.989528795811518
44,45,3.2410632797601576e-49,4.219146989461385,4.737211689675763,6.979057591623037
45,46,3.2736516987610567,4.287945706196578,4.840774132900495,7.0
46,47,3.8519004483370515e-48,4.289329078649429,4.847055854302872,6.979094076655052
47,48,8.004205952629067e-05,4.319875325171147,4.830854207865677,6.991258741258742
48,49,2.4282715780803756e-51,4.350429325602245,4.78356328841897,6.989510489510489
49,50,8.99516238730413e-51,4.373168929619539,4.87080393132454,6.979057591623037
50,51,3.7527788617364646,4.4160956834239204,4.820893555855928,7.0
51,52,3.033781484858843,4.420404988004697,4.7834285825333485,7.0
52,53,3.8519004483370515e-48,4.440124240161539,4.789133375074525,6.989510489510489
53,54,3.5529437918294926,4.455011799754434,4.81050838527251,7.0
54,55,1.6975498892327445e-44,4.460760242834655,4.804327299031038,6.989510489510489
55,56,3.8587546289487626,4.51358763393894,4.836006955832005,7.0
56,57,3.6308978161988645,4.520845564258664,4.8929616727931835,7.0
57,58,6.589863098864505e-51,4.536153286779754,4.842103721156111,6.989510489510489
58,59,3.7396141653723975,4.560748294085875,4.866649992754539,7.0
59,60,3.677677587669777,4.559007661697632,4.865951526114898,7.0
60,61,1.6975498892327445e-44,4.572551669187844,4.914767992836856,6.989510489510489
61,62,8.99516238730413e-51,4.588937437087993,4.847427576634594,6.989510489510489
62,63,4.180925396669788,4.589331839493859,4.906827290916092,7.0
63,64,5.4687200942850725e-47,4.603716558827546,4.900397420693331,6.989528795811518
64,65,3.9168642105988978,4.61698003045693,4.903124716806003,7.0
65,66,3.8685425179588417,4.612513913651663,4.842103742328982,7.0
66,67,4.117740826494978,4.628483258929593,4.882117047184987,7.0
67,68,4.057159467202547,4.645637949646881,4.897626437878135,7.0
