,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,3.0099023251550966e-17,0.6096270853963932,4.105984032684707,2.865136298421808
1,2,3.0099023251550966e-17,0.9261905639504789,4.174025802095981,3.815238095238095
2,3,2.994134765239284e-17,1.2755665585794331,4.27505275468756,4.53688989784336
3,4,3.9911426337386375e-17,1.7265570231254288,4.556236856237723,5.390835579514825
4,5,2.994134765239284e-17,1.9366877420938586,4.3235685484577315,5.737068965517241
5,6,2.994134765239284e-17,2.2368028660877024,4.218475633635927,6.172839506172839
6,7,1.2600934470373537e-16,2.379046569462578,4.5477608273039465,6.295133437990581
7,8,4.223128987573945e-17,2.6159871354431408,4.700315863837137,6.601652892561983
8,9,6.914979204472073e-16,2.66432717608024,5.024266665355073,6.557377049180328
9,10,1.5040874765127447e-16,2.816667981304489,5.184819958039357,6.669449081803005
10,11,1.2600934470373537e-16,2.989008262312682,4.723803008668496,6.763513513513513
11,12,0.009703534379805399,3.145792436065821,5.110253922846036,6.817717206132879
12,13,1.4699190218584102e-14,3.1975601371970663,5.0943866864822684,6.8493150684931505
13,14,1.1795058695323236e-16,3.287027216038179,5.175156876892329,6.834188034188034
14,15,2.738595317537124e-16,3.37973957683185,5.367490812758159,6.8493150684931505
15,16,0.000710403982887639,3.4740192901599527,5.331949306020168,6.85445205479452
16,17,0.10772709646478726,3.5817881339496886,5.430175420474668,6.837606837606837
17,18,0.27071341138448846,3.6464034485749597,5.245852914447954,6.891566265060241
18,19,0.02475757994859637,3.8054655143439144,5.474334603988924,6.891379310344828
19,20,0.29662116842730524,3.9461704362215797,5.471284472038568,6.91522491349481
20,21,0.35917836109722096,4.037988925551338,5.630651228566857,6.923875432525952
21,22,0.03127572721759862,4.15453030766735,5.715019827397899,6.9375
22,23,0.3739268134704381,4.275979681139447,5.68526890288208,6.961672473867596
23,24,0.42397426543793615,4.340960476989757,5.649592481663905,6.970434782608696
24,25,0.2618845992455445,4.400717139014382,5.893343627327482,6.958260869565217
25,26,0.34935833964787766,4.511197715157922,5.719893353511927,6.958188153310105
26,27,1.6002732609076489,4.615948524261129,5.829934682010697,6.977312390924957
27,28,1.0905762776353733,4.642614676727238,6.005902535484672,6.96
28,29,0.411503632667946,4.6615337760559195,5.796609859927835,6.987783595113438
29,30,0.7547648055760279,4.76455632907161,5.843139336018808,6.982547993019197
30,31,1.5626461057389083,4.876682286785711,6.024330135218627,6.9877622377622375
31,32,0.6040275374568287,4.901222415390488,6.1595026982158805,6.958260869565217
32,33,0.35410370966009425,4.978772226890229,6.101138467715857,6.975567190226876
33,34,0.3844505615306978,5.046717663945879,6.031357251409435,6.984293193717278
34,35,0.35029888661219505,5.112644249923505,6.192063339454237,6.986038394415358
35,36,1.7773973917678514,5.169000836684813,6.163925820498546,6.982547993019197
36,37,2.199288277918841,5.197816548979752,6.286148241973544,6.989510489510489
37,38,4.007409155488371,5.265751883054309,6.124664869653451,6.998248686514886
38,39,2.28883960434752,5.315074182050601,6.216553302653951,6.989528795811518
39,40,3.755613733632933,5.364183625750744,6.144631339515406,7.0
40,41,4.184473014263519,5.429491899921394,6.2032620005135914,7.0
41,42,3.692851187178177,5.491049789259185,6.23139021306949,7.0
42,43,4.1615781927752895,5.487128527041223,6.2004259404479525,7.0
43,44,0.36743723286751917,5.508961421087935,6.270261768045312,6.991258741258742
44,45,0.362449455617816,5.567678098991423,6.28639917010177,6.982578397212544
45,46,0.5270955217520104,5.591963755256465,6.276400812956612,6.991258741258742
46,47,3.6994645595084794,5.6107010732805875,6.237593940403383,6.998248686514886
47,48,4.417120908514507,5.661427338473245,6.257952010550893,7.0
48,49,4.696151348591057,5.713315490555362,6.256308699001442,7.0
49,50,0.7833182679982857,5.72741853942166,6.248211109216424,6.991258741258742
